Title,Author,Publication Date,Location,URL,Anger[0],Anger[1],Anger[2],Anger[3],Anger[4],Disgust[0],Disgust[1],Disgust[2],Disgust[3],Disgust[4],Fear[0],Fear[1],Fear[2],Fear[3],Fear[4],Joy[0],Joy[1],Joy[2],Joy[3],Joy[4],Sadness[0],Sadness[1],Sadness[2],Sadness[3],Sadness[4]
The Wealth of Nations,Adam Smith,1776,Scotland,http://www.loyalbooks.com/download/text/The-Wealth-of-Nations-by-Adam-Smith.txt,0.134301,0.088969,0.117069,0.094069,0.143016,0.144942,0.084006,0.097172,0.089163,0.096018,0.084478,0.110119,0.09509,0.145833,0.092561,0.558596,0.540617,0.557704,0.598986,0.632436,0.271284,0.489482,0.500316,0.254749,0.221597,
Jude the Obscure,Thomas Hardy,1895,United Kingdom,http://www.loyalbooks.com/download/text/Jude-the-Obscure-by-Thomas-Hardy.txt,0.143464,0.152363,0.118623,0.112187,0.52368,0.102425,0.116801,0.09681,0.093934,0.139744,0.12822,0.146382,0.138275,0.592445,0.144504,0.551496,0.532564,0.602123,0.581677,0.546395,0.552899,0.549064,0.574265,0.568764,0.553848,
Mike,P. G. Wodehouse,1909,United Kingdom,http://www.loyalbooks.com/download/text/Mike-a-Public-School-Story-by-P-G-Wodehouse.txt,0.135768,0.134158,0.16019,0.144098,0.138302,0.098266,0.129807,0.094192,0.128997,0.120306,0.139729,0.154688,0.131183,0.168619,0.121773,0.596454,0.172439,0.559941,0.497029,0.541996,0.475991,0.551401,0.539523,0.550596,0.534434,
Pudd'nhead Wilson,Mark Twain,1894,United States,http://www.loyalbooks.com/download/text/The-Tragedy-of-Puddnhead-Wilson-version-2.txt,0.481488,0.136546,0.141071,0.45855,0.171907,0.142093,0.4656,0.110971,0.119855,0.163202,0.155873,0.549548,0.165617,0.147585,0.507359,0.59686,0.596363,0.527875,0.548871,0.565225,0.55428,0.209739,0.534458,0.537134,0.547467,
Chronicles of Avonlea,Lucy Maud Montgomery,1912,Canada,http://www.loyalbooks.com/download/text/Chronicles-of-Avonlea-by-Lucy-Maud-Montgomery.txt,0.104638,0.165571,0.120662,0.145357,0.130058,0.129384,0.144016,0.108236,0.115078,0.117033,0.127882,0.177646,0.10723,0.601492,0.575344,0.591948,0.17498,0.584998,0.557924,0.614557,0.492342,0.64808,0.503206,0.623532,0.591868,
The Stones of Venice,John Ruskin,1851,United Kingdom,http://www.loyalbooks.com/download/text/Stones-of-Venice-volume-I-of-3-by-Ruskin.txt,0.092146,0.107906,0.091975,0.071654,0.117235,0.066988,0.073105,0.05334,0.050203,0.133802,0.062931,0.558565,0.102937,0.067564,0.15104,0.590723,0.56922,0.541731,0.598836,0.537764,0.505615,0.123426,0.473919,0.150396,0.560513,
Anne of the Island,Lucy Maud Montgomery,1915,Canada,http://www.loyalbooks.com/download/text/Anne-of-the-Island-by-Lucy-Maud-Montgomery-2.txt,0.03966,0.129248,0.141994,0.085424,0.103743,0.055359,0.110081,0.109058,0.077515,0.082819,0.064548,0.152134,0.570494,0.117099,0.138452,0.563681,0.572891,0.568373,0.614505,0.648564,0.597179,0.581068,0.547642,0.600976,0.506551,
The Adventures of Pinocchio,Carlo Collodi,1883,Italy,http://www.loyalbooks.com/download/text/Adventures-of-Pinocchio-by-C-Collodi.txt,0.14205,0.17168,0.156527,0.460189,0.107804,0.115258,0.125552,0.164595,0.101709,0.086602,0.154066,0.170629,0.683244,0.175249,0.11426,0.575561,0.598901,0.479655,0.601265,0.623907,0.574568,0.573595,0.600842,0.584345,0.582671,
North and South,Elizabeth Gaskell,1855,England,http://www.loyalbooks.com/download/text/North-and-South-by-Elizabeth-Cleghorn-Gaskell-version-2.txt,0.131055,0.141304,0.514707,0.108856,0.141642,0.083858,0.097964,0.114907,0.101118,0.085883,0.129411,0.142141,0.543074,0.139359,0.114212,0.632261,0.561186,0.522968,0.539166,0.56595,0.52714,0.51513,0.535041,0.571603,0.514455,
null,Sarah Orne Jewett,1884,Title A Doctor,http://www.loyalbooks.com/download/text/Country-Doctor-and-Selected-Stories-and-Sketches.txt,0.123435,0.102678,0.102409,0.146587,0.097999,0.090621,0.079768,0.093124,0.102524,0.109959,0.154265,0.098962,0.157911,0.140879,0.125384,0.555819,0.660756,0.639902,0.576432,0.605913,0.578795,0.492133,0.547021,0.553282,0.570983,
